,date,open,close,high,low,volume,code
2612,2018-03-05,65.731,65.945,66.634,65.09,609823.0,601318
2613,2018-03-06,66.45,67.343,67.411,65.478,657077.0,601318
2614,2018-03-07,67.013,66.819,68.179,66.236,590555.0,601318
2615,2018-03-08,67.091,68.529,68.82,66.799,692681.0,601318
2616,2018-03-09,68.976,68.869,69.422,68.305,476222.0,601318
2617,2018-03-12,69.558,69.092,69.811,68.587,583351.0,601318
2618,2018-03-13,69.17,67.441,69.316,67.207,609492.0,601318
2619,2018-03-14,66.887,66.858,67.227,66.314,514760.0,601318
2620,2018-03-15,66.459,68.48,68.684,66.45,627110.0,601318
2621,2018-03-16,68.684,68.5,69.898,68.441,701326.0,601318
2622,2018-03-19,68.869,71.705,71.773,68.47,924499.0,601318
2623,2018-03-20,71.016,71.977,72.075,70.627,659778.0,601318
2624,2018-03-21,74.513,71.715,74.523,70.948,1367485.0,601318
2625,2018-03-22,71.414,70.802,72.055,69.636,902877.0,601318
2626,2018-03-23,68.004,68.296,68.752,67.441,1486954.0,601318
2627,2018-03-26,67.227,66.333,67.975,65.07,1380985.0,601318
2628,2018-03-27,67.596,66.217,67.674,65.575,1039920.0,601318
2629,2018-03-28,65.09,63.535,65.75,63.03,1420787.0,601318
2630,2018-03-29,63.555,64.497,65.362,61.699,1462545.0,601318
2631,2018-03-30,64.128,63.448,64.38,62.952,842022.0,601318
2632,2018-04-02,62.418,62.816,64.361,62.389,805559.0,601318
2633,2018-04-03,62.127,62.671,63.098,62.02,604070.0,601318
2634,2018-04-04,63.049,62.709,63.71,62.156,679989.0,601318
2635,2018-04-09,63.137,64.079,64.108,62.224,716142.0,601318
2636,2018-04-10,63.817,66.304,66.45,63.526,905139.0,601318
2637,2018-04-11,66.353,65.741,66.615,65.556,720924.0,601318
2638,2018-04-12,65.974,64.818,66.032,64.788,544502.0,601318
2639,2018-04-13,65.507,64.293,65.527,64.167,466385.0,601318
2640,2018-04-16,64.128,62.467,64.759,62.059,809639.0,601318
2641,2018-04-17,62.603,61.33,63.011,61.039,831672.0,601318
2642,2018-04-18,61.961,61.699,62.127,60.815,764845.0,601318
2643,2018-04-19,62.078,62.641,63.098,61.845,726473.0,601318
2644,2018-04-20,62.369,62.321,63.02,61.699,603340.0,601318
2645,2018-04-23,62.321,63.137,63.302,61.961,544466.0,601318
2646,2018-04-24,63.535,64.662,65.148,63.419,906954.0,601318
2647,2018-04-25,64.157,63.632,64.565,63.448,477827.0,601318
2648,2018-04-26,63.807,61.32,64.011,61.019,841553.0,601318
2649,2018-04-27,61.738,59.154,61.913,56.677,2602862.0,601318
2650,2018-05-02,59.61,59.591,60.028,59.018,708908.0,601318
2651,2018-05-03,59.144,59.688,59.824,58.192,629125.0,601318
2652,2018-05-04,59.581,58.979,59.882,58.911,441586.0,601318
2653,2018-05-07,58.824,59.445,59.717,58.007,829447.0,601318
2654,2018-05-08,59.61,61.281,62.059,59.494,1174720.0,601318
2655,2018-05-09,61.301,61.155,61.592,60.737,484431.0,601318
2656,2018-05-10,61.495,61.379,61.932,60.825,498178.0,601318
2657,2018-05-11,61.767,61.301,61.845,61.019,452105.0,601318
2658,2018-05-14,61.884,62.272,62.739,61.689,683709.0,601318
2659,2018-05-15,62.661,62.146,62.748,61.592,529529.0,601318
2660,2018-05-16,61.864,61.019,62.097,60.844,559514.0,601318
2661,2018-05-17,61.291,60.232,61.388,60.174,477782.0,601318
2662,2018-05-18,60.116,61.243,61.32,59.834,566253.0,601318
2663,2018-05-21,61.738,61.845,62.321,61.466,705065.0,601318
2664,2018-05-22,61.767,61.213,62.02,60.718,437692.0,601318
2665,2018-05-23,61.155,59.999,61.155,59.912,569154.0,601318
2666,2018-05-24,60.193,59.474,60.494,59.416,441513.0,601318
2667,2018-05-25,59.63,59.776,60.407,59.591,353929.0,601318
2668,2018-05-28,60.038,60.718,61.087,59.795,458948.0,601318
2669,2018-05-29,60.543,60.601,60.873,59.552,636474.0,601318
2670,2018-05-30,59.562,58.921,59.941,58.853,490836.0,601318
2671,2018-05-31,59.368,60.358,60.407,58.979,665388.0,601318
2672,2018-06-01,60.145,59.882,60.417,59.533,408007.0,601318
2673,2018-06-04,60.329,61.719,61.893,60.135,858897.0,601318
2674,2018-06-05,61.777,62.739,63.147,61.408,885172.0,601318
2675,2018-06-06,62.593,61.991,62.612,61.893,490220.0,601318
2676,2018-06-07,62.644,62.614,63.901,62.396,746266.0,601318
2677,2018-06-08,62.347,61.772,62.614,61.337,579391.0,601318
2678,2018-06-11,61.634,62.406,62.574,61.238,512803.0,601318
2679,2018-06-12,62.574,63.267,63.614,62.198,763559.0,601318
2680,2018-06-13,63.168,63.119,63.277,62.723,459053.0,601318
2681,2018-06-14,62.951,63.802,64.703,62.822,798484.0,601318
2682,2018-06-15,63.465,63.99,64.515,63.386,666582.0,601318
2683,2018-06-19,63.168,61.475,63.564,61.188,1278263.0,601318
2684,2018-06-20,61.287,61.238,61.921,60.178,743195.0,601318
2685,2018-06-21,61.248,60.485,61.941,60.396,605493.0,601318
2686,2018-06-22,60.0,60.465,60.891,60.0,465376.0,601318
2687,2018-06-25,60.673,59.198,60.743,59.01,607496.0,601318
